State,API URL,Map URL
New Hampshire,https://geo.dot.gov/server/rest/services/Hosted/NewHampshireInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FNewHampshireInventory%2FFeatureServer&source=sd
New Jersey,https://geo.dot.gov/server/rest/services/Hosted/NewJerseyInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FNewJerseyInventory%2FFeatureServer&source=sd
New York,https://geo.dot.gov/server/rest/services/Hosted/NewYorkInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FNewYorkInventory%2FFeatureServer&source=sd
North Carolina,https://geo.dot.gov/server/rest/services/Hosted/NorthCarolinaInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FNorthCarolinaInventory%2FFeatureServer&source=sd
North Dakota,https://geo.dot.gov/server/rest/services/Hosted/NorthDakotaInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FNorthDakotaInventory%2FFeatureServer&source=sd
Ohio,https://geo.dot.gov/server/rest/services/Hosted/OhioInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FOhioInventory%2FFeatureServer&source=sd
Oklahoma,https://geo.dot.gov/server/rest/services/Hosted/OklahomaInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FOklahomaInventory%2FFeatureServer&source=sd
Oregon,https://geo.dot.gov/server/rest/services/Hosted/OregonInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FOregonInventory%2FFeatureServer&source=sd
Pennsylvania,https://geo.dot.gov/server/rest/services/Hosted/PennsylvaniaInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FPennsylvaniaInventory%2FFeatureServer&source=sd
Rhode Island,https://geo.dot.gov/server/rest/services/Hosted/RhodeIslandInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FRhodeIslandInventory%2FFeatureServer&source=sd
South Carolina,https://geo.dot.gov/server/rest/services/Hosted/SouthCarolinaInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FSouthCarolinaInventory%2FFeatureServer&source=sd
South Dakota,https://geo.dot.gov/server/rest/services/Hosted/SouthDakotaInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FSouthDakotaInventory%2FFeatureServer&source=sd
Tennessee,https://geo.dot.gov/server/rest/services/Hosted/TennesseeInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FTennesseeInventory%2FFeatureServer&source=sd
Texas,https://geo.dot.gov/server/rest/services/Hosted/TexasInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FTexasInventory%2FFeatureServer&source=sd
Utah,https://geo.dot.gov/server/rest/services/Hosted/UtahInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FUtahInventory%2FFeatureServer&source=sd
Vermont,https://geo.dot.gov/server/rest/services/Hosted/VermontInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FVermontInventory%2FFeatureServer&source=sd
Virginia,https://geo.dot.gov/server/rest/services/Hosted/VirginiaInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FVirginiaInventory%2FFeatureServer&source=sd
Washington,https://geo.dot.gov/server/rest/services/Hosted/WashingtonInventory/FeatureServer,https://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FWashingtonInventory%2FFeatureServer&source=sd
West Virginia,https://geo.dot.gov/server/rest/services/Hosted/WestVirginaInventory/FeatureServer,https://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FWestVirginaInventory%2FFeatureServer&source=sd
Wisconsin,https://geo.dot.gov/server/rest/services/Hosted/WisconsinInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FWisconsinInventory%2FFeatureServer&source=sd
Wyoming,https://geo.dot.gov/server/rest/services/Hosted/WyomingInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FWyomingInventory%2FFeatureServer&source=sd
Puerto Rico,https://geo.dot.gov/server/rest/services/Hosted/PuertoRicoInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FPuertoRicoInventory%2FFeatureServer&source=sd
