longitude,latitude,number_of
-82.1429,28.9935,28
-82.1835,29.0931,43
-82.1851,29.096,43
-81.1971,29.5108,41
-81.1971,29.5108,41
-82.3647,29.5895,7
-82.3627,29.5903,13
-81.3272,29.7022,15
-81.3349,29.7156,16
-82.577,29.9775,50
-82.58,29.9792,50
-81.4967,30.0914,45
-81.4988,30.0947,45
-83.6549,30.1995,10
-82.40276,30.253936,22
-82.400722,30.255054,25
-82.7998,30.2748,15
-82.799847,30.274817,14
-83.249233,30.36795,26
-83.2438,30.3689,23
-83.2726,30.3734,27
-83.2723,30.3747,27
-82.8985,30.4181,39
-82.9029,30.4215,31
-83.734041,30.445454,10
-83.730551,30.447008,11
-84.388752,30.483978,19
-84.384926,30.484995,19
-87.3502,30.5441,34
-87.3627,30.5531,39
-87.362,30.5539,39
-86.977888,30.610223,74
-86.978384,30.612393,68
-83.1469,30.6128,41
-84.8918,30.6256,43
-84.9825,30.6388,39
-84.9829,30.6398,39
-81.668729,30.669239,30
-81.667,30.6696,30
-81.678396,30.697231,37
-85.9303,30.713,17
-86.506766,30.726386,53
-86.507996,30.727028,53
-85.328503,30.755395,12
-85.322079,30.757693,24
-85.4091,30.9947,37
-83.209,30.665,23
-81.649,30.754,29
-83.365,30.917,30
-83.364,30.918,30
-83.465355,31.243507,29
-83.471182,31.26118,37
-81.49037,31.280127,50
-81.446,31.477,56
-81.448,31.477,58
-83.584359,31.634428,52
-83.661864,31.750841,62
-83.763454,32.0738,53
-81.443,32.167,35
-81.444609,32.170248,35
-83.746019,32.209603,59
-81.174,32.216,18
-81.175,32.217,14
-83.018039,32.505232,14
-83.048026,32.508862,22
-84.963,32.571,9
-85.172,32.859,19
-83.753972,32.867945,38
-83.827849,32.972366,57
-83.973,33.069,14
-83.973,33.07,14
-84.916,33.083,20
-84.915,33.087,20
-82.233,33.487,55
-82.237,33.487,31
-82.335888,33.498156,22
-82.327862,33.499775,40
-82.023,33.527,46
-83.577353,33.58041,39
-83.662343,33.603325,44
-85.32,33.677,47
-85.085,33.696,53
-84.63,33.772,13
-84.917374,34.409361,51
-83.178,34.415,76
-83.156,34.427,76
-83.07,34.472,58
-84.944229,34.563501,50
-85.048,34.879,35
-85.052,34.88,35
-85.177,34.948,33
-93.853797,40.65563,16
-93.794628,41.013745,13
-93.797342,41.01411,12
-95.659145,41.402023,15
-95.658903,41.404142,16
-95.840729,41.49421,6
-94.561887,41.496693,14
-94.573462,41.496887,12
-95.795901,41.498715,6
-95.941674,41.584011,13
-95.953849,41.591751,13
-90.491278,41.596176,15
-90.479165,41.597339,20
-91.054278,41.640056,16
-91.054278,41.640056,16
-93.395527,41.680378,24
-93.390183,41.681542,22
-91.683283,41.694278,24
-92.773616,41.695301,23
-91.680318,41.695435,24
-92.231302,41.69571,22
-92.772822,41.695968,10
-92.231901,41.696535,18
-93.57062,41.830637,20
-93.57062,41.830637,20
-91.671016,41.867155,16
-91.66814,41.868386,16
-96.111397,41.99264,15
-96.109896,41.993507,16
-93.557274,42.110082,15
-93.553462,42.128409,16
-96.352836,42.374589,14
-96.354474,42.375706,12
-93.460226,42.673653,50
-93.354162,43.445533,34
-113.409217,42.504197,9
-113.4088,42.50538,4
-113.147807,42.613544,23
-112.958528,42.697221,20
-115.073281,42.938878,47
-115.074126,42.940512,49
-116.107023,43.477911,34
-116.105564,43.478784,28
-116.94498,44.016283,18
-116.561533,46.50999,10
-116.866765,47.710238,22
-116.866765,47.710238,11
-89.641058,39.34696,28
-89.64436,39.351846,28
-87.661736,39.423049,39
-88.675476,40.273827,42
-88.675476,40.273827,42
-88.6801,37.15925,18
-89.106002,40.361667,20
-89.110171,40.358783,20
-89.763472,38.549289,27
-89.763472,38.549289,26
-88.849972,38.273922,20
-88.80131,38.276883,20
-89.564867,41.394262,39
-89.564867,41.394262,47
-88.502876,39.19004,15
-88.501975,39.199402,16
-89.853437,38.865043,40
-89.851223,38.872408,48
-88.298985,39.921914,21
-88.303219,39.931443,21
-90.332708,41.233659,14
-90.331325,41.214303,15
-88.689058,40.82429,36
-88.682661,40.835681,29
-89.232856,40.611655,25
-89.232856,40.611655,18
-88.061045,40.550871,25
-88.06147,40.561343,27
-88.674795,39.065768,60
-88.670611,39.06833,18
-88.964312,38.596702,18
-88.967714,38.596681,18
-87.774,41.39083,20
-87.7743,41.39163,19
-88.783583,39.99268,16
-88.783583,39.99268,17
-89.595581,39.864878,6
-89.59754,39.887444,6
-88.924069,38.031022,34
-88.911877,38.095239,34
-87.74512,40.130148,20
-89.703556,38.786062,21
-89.688784,38.788169,22
-87.988901,38.232061,21
-90.093003,40.880167,13
-90.089306,40.880927,12
-88.345885,41.432156,31
-88.327236,41.446548,39
-89.13356,37.465764,20
-89.1332,37.46939,20
-88.83448129,42.2336262,12
-88.83448129,42.2336262,12
-87.59943737,41.5787547,16
-87.59943737,41.5787547,16
-88.7391,41.9006,28
-87.92633793,42.0148419,12
-87.92633793,42.0148419,12
-87.90790525,41.7835089,12
-87.90790525,41.7835089,12
-87.9019,42.2553,15
-87.90136825,42.2529273,15
-87.88287142,41.9504776,12
-87.88287142,41.9504776,12
-87.9473,42.46856,3
-89.007309,41.724056,42
-89.011649,41.727561,42
-88.0902,41.67266,20
-88.093,41.67255,20
-87.860035,38.194431,16
-85.776554,38.584381,64
-85.780862,38.586718,64
-85.952905,39.259856,39
-85.956712,39.277179,44
-85.168895,39.289789,40
-87.4992,39.441702,50
-86.39767,39.651266,32
-86.40051,39.654599,32
-85.704133,39.82329,201
-85.703918,39.827088,101
-85.025923,39.861248,160
-86.554668,39.899966,31
-86.554422,39.901112,30
-87.505085,40.115899,44
-86.538261,40.158319,38
-86.552131,40.171184,21
-85.556832,40.353991,80
-85.560694,40.356683,80
-87.064843,40.69825,13
